2025-03-06 10:09:01.811 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277341811; nextExpiration=1741277341810; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:10.564 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] o.a.http.impl.execchain.MainClientExec   : Connection can be kept alive indefinitely
2025-03-06 10:09:10.565 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] h.i.c.PoolingHttpClientConnectionManager : Connection [id: 5][route: {s}->https://api.telegram.org:443] can be kept alive indefinitely
2025-03-06 10:09:10.565 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] h.i.c.DefaultManagedHttpClientConnection : http-outgoing-5: set socket timeout to 0
2025-03-06 10:09:10.565 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] h.i.c.PoolingHttpClientConnectionManager : Connection released: [id: 5][route: {s}->https://api.telegram.org:443][total available: 1; route allocated: 1 of 2; total allocated: 1 of 100]
2025-03-06 10:09:10.833 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277350833; nextExpiration=1741277350831; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:11.071 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] o.a.h.client.protocol.RequestAddCookies  : CookieSpec selected: default
2025-03-06 10:09:11.072 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] o.a.h.client.protocol.RequestAuthCache   : Auth cache not set in the context
2025-03-06 10:09:11.072 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] h.i.c.PoolingHttpClientConnectionManager : Connection request: [route: {s}->https://api.telegram.org:443][total available: 1; route allocated: 1 of 2; total allocated: 1 of 100]
2025-03-06 10:09:11.072 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] h.i.c.PoolingHttpClientConnectionManager : Connection leased: [id: 5][route: {s}->https://api.telegram.org:443][total available: 0; route allocated: 1 of 2; total allocated: 1 of 100]
2025-03-06 10:09:11.072 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] h.i.c.DefaultManagedHttpClientConnection : http-outgoing-5: set socket timeout to 0
2025-03-06 10:09:11.072 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] h.i.c.DefaultManagedHttpClientConnection : http-outgoing-5: set socket timeout to 75000
2025-03-06 10:09:11.072 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] o.a.http.impl.execchain.MainClientExec   : Executing request POST /bot7634429333:AAFSh1O6KNWPYnsB1JY12XljkTeLZ3918uU/getupdates HTTP/1.1
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] o.a.http.impl.execchain.MainClientExec   : Target auth state: UNCHALLENGED
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] o.a.http.impl.execchain.MainClientExec   : Proxy auth state: UNCHALLENGED
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 >> POST /bot7634429333:AAFSh1O6KNWPYnsB1JY12XljkTeLZ3918uU/getupdates HTTP/1.1
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 >> charset: UTF-8
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 >> Content-Length: 88
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 >> Content-Type: application/json; charset=UTF-8
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 >> Host: api.telegram.org
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 >> Connection: Keep-Alive
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 >> User-Agent: Apache-HttpClient/4.5.13 (Java/23.0.2)
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 >> Accept-Encoding: gzip,deflate
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 >> "POST /bot7634429333:AAFSh1O6KNWPYnsB1JY12XljkTeLZ3918uU/getupdates HTTP/1.1[\r][\n]"
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 >> "charset: UTF-8[\r][\n]"
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 >> "Content-Length: 88[\r][\n]"
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 >> "Content-Type: application/json; charset=UTF-8[\r][\n]"
2025-03-06 10:09:11.073 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 >> "Host: api.telegram.org[\r][\n]"
2025-03-06 10:09:11.074 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 >> "Connection: Keep-Alive[\r][\n]"
2025-03-06 10:09:11.074 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 >> "User-Agent: Apache-HttpClient/4.5.13 (Java/23.0.2)[\r][\n]"
2025-03-06 10:09:11.074 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2025-03-06 10:09:11.074 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 >> "[\r][\n]"
2025-03-06 10:09:11.074 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 >> "{"offset":464650050,"limit":100,"timeout":50,"allowed_updates":[],"method":"getupdates"}"
2025-03-06 10:09:11.835 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277351835; nextExpiration=1741277351833; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:12.836 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277352836; nextExpiration=1741277352835; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:13.840 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277353840; nextExpiration=1741277353836; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:14.842 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277354841; nextExpiration=1741277354840; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:15.843 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277355843; nextExpiration=1741277355841; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:16.845 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277356845; nextExpiration=1741277356843; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:17.847 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277357847; nextExpiration=1741277357845; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:18.583 DEBUG 46031 --- [Catalina-utility-2] org.apache.catalina.session.ManagerBase  : Start expire sessions StandardManager at 1741277358583 sessioncount 0
2025-03-06 10:09:18.584 DEBUG 46031 --- [Catalina-utility-2] org.apache.catalina.session.ManagerBase  : End expire sessions StandardManager processingTime 1 expired sessions: 0
2025-03-06 10:09:18.849 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277358849; nextExpiration=1741277358847; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:19.850 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277359850; nextExpiration=1741277359849; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:20.852 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277360852; nextExpiration=1741277360850; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:21.854 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277361854; nextExpiration=1741277361852; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:22.857 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277362857; nextExpiration=1741277362854; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:23.859 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277363859; nextExpiration=1741277363857; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:24.860 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277364860; nextExpiration=1741277364859; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:25.862 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277365862; nextExpiration=1741277365860; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:26.864 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277366864; nextExpiration=1741277366862; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:27.866 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277367866; nextExpiration=1741277367864; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:28.867 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277368867; nextExpiration=1741277368866; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:29.869 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277369869; nextExpiration=1741277369867; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:30.871 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277370871; nextExpiration=1741277370869; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:31.873 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277371873; nextExpiration=1741277371871; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:32.874 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277372874; nextExpiration=1741277372873; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:33.876 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277373875; nextExpiration=1741277373874; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:34.877 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277374877; nextExpiration=1741277374875; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:35.879 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277375879; nextExpiration=1741277375877; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:36.881 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277376881; nextExpiration=1741277376879; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:37.881 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277377881; nextExpiration=1741277377881; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:38.883 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277378883; nextExpiration=1741277378881; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:39.884 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277379884; nextExpiration=1741277379883; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:40.885 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277380885; nextExpiration=1741277380884; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:41.886 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277381886; nextExpiration=1741277381885; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:42.888 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277382887; nextExpiration=1741277382886; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:43.889 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277383889; nextExpiration=1741277383887; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:44.892 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277384892; nextExpiration=1741277384889; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:45.893 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277385893; nextExpiration=1741277385892; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:46.894 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277386894; nextExpiration=1741277386893; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:47.896 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277387896; nextExpiration=1741277387894; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:48.897 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277388897; nextExpiration=1741277388896; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:49.898 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277389898; nextExpiration=1741277389897; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:50.899 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277390899; nextExpiration=1741277390898; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:51.900 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277391900; nextExpiration=1741277391899; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:52.901 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277392901; nextExpiration=1741277392900; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:53.902 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277393902; nextExpiration=1741277393901; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:54.904 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277394904; nextExpiration=1741277394902; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:55.905 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277395905; nextExpiration=1741277395904; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:56.906 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277396906; nextExpiration=1741277396905; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:57.908 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277397908; nextExpiration=1741277397906; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:58.909 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277398909; nextExpiration=1741277398908; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:59.911 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277399910; nextExpiration=1741277399909; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:10:00.911 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277400911; nextExpiration=1741277400910; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "HTTP/1.1 200 OK[\r][\n]"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Server: nginx/1.18.0[\r][\n]"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Date: Thu, 06 Mar 2025 16:10:01 GMT[\r][\n]"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Content-Type: application/json[\r][\n]"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Content-Length: 23[\r][\n]"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Connection: keep-alive[\r][\n]"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Strict-Transport-Security: max-age=31536000; includeSubDomains; preload[\r][\n]"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Access-Control-Allow-Origin: *[\r][\n]"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Access-Control-Allow-Methods: GET, POST, OPTIONS[\r][\n]"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Access-Control-Expose-Headers: Content-Length,Content-Type,Date,Server,Connection[\r][\n]"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "[\r][\n]"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "{"ok":true,"result":[]}"
2025-03-06 10:10:01.273 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << HTTP/1.1 200 OK
2025-03-06 10:10:01.274 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Server: nginx/1.18.0
2025-03-06 10:10:01.274 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Date: Thu, 06 Mar 2025 16:10:01 GMT
2025-03-06 10:10:01.274 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Content-Type: application/json
2025-03-06 10:10:01.274 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Content-Length: 23
2025-03-06 10:10:01.274 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Connection: keep-alive
